,start_year,eruptions
229,-5850.0,10.0
230,-5840.0,2.0
231,-5830.0,1.0
232,-5820.0,4.0
233,-5800.0,8.0
234,-5770.0,1.0
235,-5760.0,1.0
236,-5750.0,6.0
237,-5745.0,1.0
238,-5730.0,1.0
239,-5720.0,2.0
240,-5710.0,1.0
241,-5700.0,7.0
242,-5680.0,1.0
243,-5650.0,6.0
244,-5630.0,1.0
245,-5610.0,2.0
246,-5600.0,4.0
247,-5590.0,1.0
248,-5580.0,2.0
249,-5560.0,1.0
250,-5550.0,18.0
251,-5540.0,1.0
252,-5521.0,1.0
253,-5500.0,9.0
254,-5490.0,1.0
255,-5470.0,2.0
256,-5460.0,1.0
257,-5450.0,7.0
258,-5420.0,1.0
259,-5410.0,1.0
260,-5400.0,4.0
261,-5390.0,2.0
262,-5371.0,1.0
263,-5360.0,1.0
264,-5350.0,6.0
265,-5340.0,1.0
266,-5320.0,1.0
267,-5310.0,2.0
268,-5300.0,1.0
269,-5290.0,3.0
270,-5278.0,1.0
271,-5260.0,2.0
272,-5250.0,7.0
273,-5242.0,1.0
274,-5240.0,1.0
275,-5230.0,3.0
276,-5220.0,1.0
277,-5200.0,1.0
278,-5180.0,2.0
279,-5160.0,1.0
280,-5152.0,1.0
281,-5150.0,7.0
282,-5120.0,1.0
283,-5110.0,1.0
284,-5100.0,2.0
285,-5085.0,1.0
286,-5080.0,2.0
287,-5070.0,3.0
288,-5060.0,2.0
289,-5050.0,25.0
290,-5040.0,2.0
291,-5030.0,1.0
292,-5020.0,2.0
293,-5010.0,1.0
294,-5000.0,5.0
295,-4988.0,1.0
296,-4960.0,4.0
297,-4950.0,2.0
298,-4946.0,1.0
299,-4940.0,1.0
300,-4938.0,1.0
301,-4920.0,2.0
302,-4900.0,6.0
303,-4890.0,1.0
304,-4885.0,1.0
305,-4880.0,1.0
306,-4860.0,1.0
307,-4850.0,7.0
308,-4849.0,1.0
309,-4840.0,1.0
310,-4810.0,2.0
311,-4803.0,1.0
312,-4800.0,6.0
313,-4790.0,1.0
314,-4770.0,1.0
315,-4760.0,1.0
316,-4750.0,6.0
317,-4740.0,2.0
318,-4730.0,1.0
319,-4700.0,7.0
320,-4690.0,4.0
321,-4689.0,1.0
322,-4670.0,1.0
323,-4660.0,1.0
324,-4650.0,8.0
325,-4630.0,1.0
326,-4620.0,1.0
327,-4615.0,1.0
328,-4610.0,1.0
329,-4600.0,5.0
330,-4596.0,1.0
331,-4570.0,2.0
332,-4564.0,1.0
333,-4550.0,23.0
334,-4530.0,1.0
335,-4510.0,3.0
