Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
Krakatau,2.0,1994.0,3.0,19.0,1995.0,6.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1992.0,11.0,7.0,1993.0,10.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1988.0,2.0,14.0,1988.0,4.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1981.0,4.0,24.0,1981.0,10.0,20.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1980.0,3.0,15.0,1980.0,12.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1979.0,7.0,15.0,1979.0,11.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1978.0,7.0,10.0,1978.0,11.0,16.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1975.0,3.0,27.0,1975.0,10.0,26.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1972.0,6.0,10.0,1973.0,7.0,1.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1965.0,7.0,2.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1959.0,12.0,16.0,1963.0,7.0,2.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1958.0,10.0,2.0,1959.0,6.0,25.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1955.0,2.0,11.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1953.0,9.0,21.0,1953.0,11.0,25.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1953.0,3.0,17.0,1953.0,5.0,1.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1952.0,10.0,10.0,1952.0,10.0,11.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1950.0,7.0,3.0,1950.0,7.0,7.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1949.0,5.0,12.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1946.0,12.0,26.0,1947.0,8.0,7.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1946.0,7.0,25.0,1946.0,7.0,25.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1945.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1944.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1943.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1942.0,1.0,29.0,1942.0,1.0,30.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1941.0,1.0,28.0,1941.0,2.0,12.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,3.0,1938.0,7.0,4.0,1940.0,7.0,2.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1937.0,8.0,6.0,1937.0,11.0,23.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,1.0,1936.0,10.0,13.0,1936.0,11.0,0.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1935.0,1.0,4.0,1935.0,7.0,12.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,3.0,1932.0,11.0,14.0,1934.0,6.0,9.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1931.0,9.0,23.0,1932.0,2.0,17.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,2.0,1927.0,12.0,29.0,1930.0,8.0,15.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,6.0,1883.0,5.0,20.0,1883.0,10.0,21.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,3.0,1684.0,2.0,1.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,3.0,1680.0,5.0,0.0,1681.0,11.0,19.0,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,1530.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,1320.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,1150.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,1050.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,950.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,850.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,4.0,416.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krakatau,,250.0,0.0,0.0,,,,Indonesia,Indonesia,-6.102,105.423,813,Caldera,
Krasheninnikov,,1550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,0.0,1350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,850.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,3.0,750.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,2.0,650.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,4.0,-150.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-650.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-850.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,3.0,-1000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-1050.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-1150.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,3.0,-1350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-1650.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-2250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-2950.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-3250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-3550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-4450.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-4850.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-5050.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-5250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-5450.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,4.0,-5800.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,4.0,-6000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-6250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-6350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-6550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-7250.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Krasheninnikov,,-8050.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.596,160.27,1816,Caldera,
Kronotsky,2.0,1923.0,2.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.753,160.533,3482,Stratovolcano,
Kronotsky,2.0,1922.0,11.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.753,160.533,3482,Stratovolcano,
Kronotsky,,-50.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,54.753,160.533,3482,Stratovolcano,
Krummel-Garbuna-Welcker,2.0,2008.0,7.0,13.0,2008.0,10.0,4.0,Papua New Guinea,Melanesia and Australia,-5.416,150.027,564,Stratovolcano(es),
Krummel-Garbuna-Welcker,1.0,2008.0,3.0,11.0,2008.0,3.0,13.0,Papua New Guinea,Melanesia and Australia,-5.416,150.027,564,Stratovolcano(es),
Krummel-Garbuna-Welcker,2.0,2005.0,10.0,16.0,2005.0,11.0,17.0,Papua New Guinea,Melanesia and Australia,-5.416,150.027,564,Stratovolcano(es),
Krummel-Garbuna-Welcker,2.0,150.0,0.0,0.0,,,,Papua New Guinea,Melanesia and Australia,-5.416,150.027,564,Stratovolcano(es),
Krysuvik,1.0,1340.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,1.0,1325.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,1.0,1188.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,1.0,1151.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,0.0,1075.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,2.0,900.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,2.0,-190.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,0.0,-1060.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,2.0,-5290.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,0.0,-6000.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Krysuvik,0.0,-8500.0,0.0,0.0,,,,Iceland,Iceland and Arctic Ocean,63.883,-22.083,360,Crater rows,
Ksudach,5.0,1907.0,3.0,28.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,4.0,1750.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,4.0,1000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,,700.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,2.0,350.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,6.0,240.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,3.0,-200.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,4.0,-3000.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,3.0,-4100.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,3.0,-4550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,,-4750.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,5.0,-4900.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,5.0,-5200.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,,-5600.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Ksudach,5.0,-7900.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.844,157.572,1079,Stratovolcano,
Kuchinoerabujima,3.0,2015.0,5.0,29.0,2015.0,6.0,19.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,1.0,2014.0,8.0,3.0,2014.0,8.0,3.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1980.0,9.0,28.0,1980.0,9.0,28.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1976.0,4.0,2.0,1976.0,4.0,2.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,1.0,1974.0,6.0,3.0,1974.0,6.0,3.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1973.0,11.0,5.0,1973.0,11.0,19.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1972.0,9.0,2.0,1972.0,9.0,2.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,3.0,1968.0,12.0,21.0,1969.0,3.0,10.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1966.0,11.0,22.0,1966.0,11.0,22.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1945.0,11.0,3.0,1945.0,11.0,3.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,4.0,1933.0,12.0,23.0,1934.0,1.0,12.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,3.0,1931.0,4.0,2.0,1931.0,6.0,22.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1914.0,1.0,5.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1841.0,5.0,23.0,1841.0,8.0,1.0,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,2.0,1840.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,1560.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,1470.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
Kuchinoerabujima,,1440.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",30.443,130.218,639,Stratovolcano(es),
