,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
453,Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740.0,Stratovolcano,Historical
454,Griggs,United States,Alaska Peninsula,58.35,-155.1,2317.0,Stratovolcano,Holocene
455,"Grille, La",Comoros,Indian O-W,-11.47,43.33,1087.0,Shield volcano,Holocene
456,Grimsnes,Iceland,Iceland-SW,64.03,-20.87,214.0,Crater rows,Tephrochronology
457,Grimsvotn,Iceland,Iceland-NE,64.42,-17.33,1725.0,Caldera,Historical
458,Groppo,Ethiopia,Africa-NE,11.73,40.25,930.0,Stratovolcano,Holocene
459,Grozny Group,Russia,Kuril Is,45.02,147.87,1211.0,Complex volcano,Historical
460,Guadalupe,Mexico,Mexico,29.07,-118.28,1100.0,Shield volcano,Holocene
461,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784.0,Stratovolcano,Historical
462,Guallatiri,Chile,Chile-N,-18.42,-69.17,6071.0,Stratovolcano,Historical
463,Guayaques,Bolivia,Chile-N,-22.88,-67.58,5598.0,Lava dome,Holocene
464,Guazapa,El Salvador,El Salvador,13.9,-89.12,1438.0,Stratovolcano,Holocene
465,Gufa,Eritrea,Africa-NE,12.55,42.53,600.0,Volcanic field,Holocene
466,Guguan,United States,Mariana Is-C Pacific,17.32,145.85,287.0,Stratovolcano,Historical
467,Guntur,Indonesia,Java,-7.13,107.83,2249.0,Complex volcano,Historical
468,Gunungapi Wetar,Pacific Ocean,Banda Sea,-6.642,126.65,282.0,Stratovolcano,Historical
469,Hachijo-jima,Japan,Izu Is-Japan,33.13,139.77,854.0,Stratovolcano,Historical
470,Hachimantai,Japan,Honshu-Japan,39.95,140.85,1614.0,Stratovolcano,Holocene
471,Hainan Dao,China,SE Asia,19.7,110.1,,Pyroclastic cones,Historical
472,Hakkoda Group,Japan,Honshu-Japan,40.65,140.88,1585.0,Stratovolcano,Holocene
473,Hakone,Japan,Honshu-Japan,35.22,139.02,1438.0,Complex volcano,Radiocarbon
474,Haku-san,Japan,Honshu-Japan,36.15,136.78,2702.0,Stratovolcano,Historical
475,Haleakala,United States,Hawaiian Is,20.708000000000002,-156.25,3055.0,Shield volcano,Historical
476,Halla,South Korea,Korea,33.37,126.53,1950.0,Shield volcano,Historical
477,Hanish,Yemen,Red Sea,13.72,42.73,422.0,Shield volcano,Holocene
478,Hargy,Papua New Guinea,New Britain-SW Pac,-5.33,151.1,1148.0,Stratovolcano,Radiocarbon
479,"Harrah, Al",Saudi Arabia,Arabia-W,31.083000000000002,38.417,1100.0,Volcanic field,Holocene
480,Haruj,Libya,Africa-N,27.25,17.5,1200.0,Scoria cone,Holocene
481,Haruna,Japan,Honshu-Japan,36.47,138.88,1449.0,Stratovolcano,Anthropology
