,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country_x,Region_x,Latitude,Longitude_x,Elevation_x,Primary Volcano Type_x,Status,Country_y,Region_y,Longitude_y,Elevation_y,Primary Volcano Type_y
7964,Shikotsu,2.0,1919.0,5.0,4.0,1919.0,5.0,4.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7965,Shikotsu,1.0,1918.0,6.0,13.0,1918.0,7.0,31.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7966,Shikotsu,2.0,1917.0,4.0,30.0,1917.0,5.0,12.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7967,Shikotsu,3.0,1909.0,1.0,11.0,1909.0,4.0,22.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7968,Shikotsu,2.0,1894.0,8.0,17.0,1894.0,8.0,17.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7969,Shikotsu,2.0,1894.0,2.0,8.0,1894.0,2.0,8.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7970,Shikotsu,2.0,1887.0,9.0,3.0,1887.0,10.0,8.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7971,Shikotsu,2.0,1886.0,4.0,13.0,1886.0,4.0,28.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7972,Shikotsu,2.0,1885.0,1.0,4.0,1885.0,3.0,0.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
7973,Shikotsu,2.0,1883.0,10.0,7.0,1883.0,11.0,5.0,Japan,"Japan, Taiwan, Marianas",42.688,141.38,1320,Caldera,,Japan,"Japan, Taiwan, Marianas",141.38,1320,Caldera
