,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
4741,Fuego,2.0,1620.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4742,Fuego,3.0,1617.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4743,Fuego,2.0,1614.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4744,Fuego,2.0,1587.0,7.0,24.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4745,Fuego,2.0,1586.0,6.0,3.0,1586.0,12.0,0.0,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4746,Fuego,2.0,1585.0,1.0,15.0,1585.0,7.0,0.0,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4747,Fuego,4.0,1581.0,12.0,5.0,1582.0,1.0,15.0,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4748,Fuego,2.0,1551.0,0.0,0.0,1552.0,3.0,31.0,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4749,Fuego,,1542.0,1.0,14.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4750,Fuego,,1541.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4751,Fuego,2.0,1531.0,12.0,31.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4752,Fuego,2.0,1524.0,4.0,30.0,1524.0,7.0,15.0,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4753,Fuego,,970.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4754,Fuego,,900.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4755,Fuego,,590.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4756,Fuego,,-1580.0,0.0,0.0,,,,Guatemala,México and Central America,14.473,-90.88,3763,Stratovolcano(es),
4757,Acatenango,1.0,1972.0,11.0,12.0,1972.0,12.0,16.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4758,Acatenango,2.0,1926.0,8.0,0.0,1927.0,5.0,19.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
4759,Acatenango,3.0,1924.0,12.0,18.0,1925.0,6.0,7.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
