,city,lat,lng,pop,country,time,dist,risk
1060,Alagoinhas,-12.13999673,-38.42999048,123379.0,Brazil,117.0,118.32773619285688,4.25941918878908
1061,Juazeiro,-9.420007712,-40.49996749,95132.0,Brazil,760.0,406.70750612661317,2.1331753863938974
1062,Vitória,-20.32399331,-40.36599634,1008328.0,Brazil,2570.0,76.50908143729872,4.656558249186428
1063,Joao Pessoa,-7.10113513,-34.87607117,803441.5,Brazil,740.0,271.0869570882893,2.879223586742518
1064,Campina Grande,-7.230012188,-35.88001693,383098.5,Brazil,69.0,593.2506169070178,1.9851448465142203
1065,Nova Friburgo,-22.25999917,-42.54004968,162676.0,Brazil,1100.0,570.3921137004061,1.6145733853995645
1066,Aracatuba,-21.20998574,-50.45000615,166305.0,Brazil,128.0,453.78746229262197,2.2392021287656854
1067,Sena Madureira,-9.070003236,-68.66997929,23354.0,Brazil,219.0,848.2363090768481,1.0767683269659278
1068,Fonte Boa,-2.5138142709999998,-66.09160954,13974.5,Brazil,246.0,536.7718533604896,1.714678579832319
1069,Eirunepe,-6.66002114,-69.87380762,19462.5,Brazil,97.0,628.7492194160471,1.639453369232034
1070,Manicore,-5.812165915,-61.29748356,17802.0,Brazil,12.0,639.9320701287278,2.0275253652301473
1071,Barcelos,-0.97499347,-62.92389592,9968.5,Brazil,146.0,415.0432367599453,2.1515151537190276
1072,Tonantins,-2.8727070930000003,-67.80189274,2722.0,Brazil,1330.0,134.83076695254013,3.453743131327892
1073,Tefe,-3.36001585,-64.69998906,48189.5,Brazil,4.0,287.7128030549034,3.605575146048032
1074,Coari,-4.079971905,-63.12998153,51897.5,Brazil,36.0,370.71018393223835,2.689227117324451
1075,Sao Cabriel da Cachoeira,-0.133236065,-67.08330611,15231.0,Brazil,24.0,531.1456114373069,2.1374718363545195
1076,Novo Airao,-2.620784486,-60.94378422,9049.0,Brazil,51.0,716.9723076236979,1.4901309290523146
1077,Itacoatiara,-3.140029278,-58.43998356,51509.0,Brazil,140.0,194.93735804990402,3.4236895310442135
1078,Parintins,-2.6100357880000002,-56.74000981,64428.0,Brazil,16.0,171.57278032914627,4.041262222719265
1079,Natal,-6.983825663999999,-60.26994938,980588.0,Brazil,160.0,1017.9903857088813,1.0852300865452942
1080,Crato,-7.46389972,-63.03996118,164149.5,Brazil,380.0,502.7226686363099,1.9311775411035539
1081,Imperatriz,-5.520039043,-47.49000594,203339.5,Brazil,18.0,593.7649085732569,2.2136115025291874
1082,Balsas,-7.520020326,-46.04999048,39761.5,Brazil,55.0,228.11880510370725,3.323315293115525
1083,Breves,-1.680015036,-50.4900037,46818.5,Brazil,1470.0,38.06958224363782,5.544553619350877
1084,Jacareacanga,-6.266608461000001,-57.65000594,31661.0,Brazil,41.0,864.4597091993439,1.3454326107136756
1085,Tucurui,-3.679996319,-49.71999903,38472.0,Brazil,2970.0,934.973725969813,0.6670226990889325
1086,Itaituba,-4.258617331,-55.92502079,78532.0,Brazil,83.0,220.09504305492143,3.352978921296265
1087,Conceicao do Araguaia,-8.250001608,-49.29002527,27115.0,Brazil,55.0,375.7429476666901,2.5415906247608233
1088,Abaetetuba,-1.724530694,-48.88488014,78735.0,Brazil,63.0,297.0548097264717,2.9480451960898644
1090,Araguaina,-7.190014628999999,-48.21001367,50444.0,Brazil,18.0,173.5785554458303,3.979574034294997
1091,Palmas,-10.23773558,-48.287786700000005,215793.5,Brazil,670.0,470.2466154312851,1.98043675019531
1092,Teofilo Otoni,-17.87003457,-41.50000981,86865.0,Brazil,1183.0,329.3816174916732,2.397091251382815
1093,Uberaba,-19.7799955,-47.9500037,234807.0,Brazil,6.0,343.9621719815308,3.3266987554923597
1094,Januaria,-15.47999957,-44.36998967,25753.0,Brazil,2070.0,481.2103728770414,1.6797222716119848
1095,Mato Grosso,-15.00002887,-59.95002059,1612.0,Brazil,246.0,338.7901584772221,2.2162883712412365
1096,Aripuana,-9.169997132999999,-60.64000431,26983.0,Brazil,226.0,158.6237670468551,3.6175516869647106
1097,Sinop,-11.84998859,-55.45998458,8961.0,Brazil,33.0,173.3011388770953,3.7195726387764654
1098,Jaguarao,-32.5600423,-53.36998295,26020.0,Brazil,49.0,811.2935375814875,1.393463909088942
1099,Bage,-31.32001463,-54.10001591,102519.0,Brazil,7.0,316.5117798761056,3.3577848524222644
1100,Londrina,-23.30003904,-51.17998743,496035.0,Brazil,35.0,456.72350339795247,2.5226704873170354
1101,Criciuma,-28.68002073,-49.38996749,183085.5,Brazil,1182.0,512.2570339741477,1.7771534466418955
1102,Aracati,-4.559994284,-37.77003076,28126.5,Brazil,2970.0,387.12161359540164,1.9805398742413358
1103,Ico,-6.400037009,-38.84999068,15820.0,Brazil,4.0,651.0525889354552,2.2866235955158714
1104,Parnaiba,-2.9100174780000003,-41.76996749,125699.0,Brazil,226.0,336.9502531831013,2.588645459205881
1105,Picos,-7.079995505,-41.43998763,47694.5,Brazil,200.0,774.530450892442,1.2795873754954905
1106,Arapiraca,-9.750013409,-36.66999455,177115.0,Brazil,106.0,261.24033273840126,3.1075569560913303
1107,Jequie,-13.85002155,-40.07999312,131524.5,Brazil,389.0,54.19880283429764,5.252353832758889
1108,Ilheus,-14.780042300000002,-39.05000431,193060.5,Brazil,69.0,534.2015276523699,2.1023730112184826
1109,Canavieiras,-15.64004148,-38.96000981,26375.0,Brazil,132.0,312.48575490701097,2.672410311088455
1110,Santa Maria da Vitoria,-13.38999795,-44.21002527,13176.0,Brazil,5510.0,290.0648229022679,2.3018328729584097
1111,Irece,-11.29999632,-41.87001306,48079.5,Brazil,35.0,281.0669038750447,3.1078487319584203
1112,Xique-Xique,-10.82002562,-42.73001225,18633.0,Brazil,21.0,104.2437063314654,4.635515119178426
